"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C18,C41,C25,C34";"C_0603_1608Metric";4;"10uF";;;
2;"C19,C40,C42,C45,C46,C35,C10,C11,C16,C23,C26,C32,C14";"C_0603_1608Metric";13;"1uF";;;
3;"C20,C28,C30,C31,C33,C44,C13,C12,C37,C1,C2,C3,C4,C17,C21,C22,C24,C27,C29,C15,C6,C8,C7,C5";"C_0402_1005Metric";24;"0.1uF";;;
4;"R2,R3,R4,R5,R10,R7";"R_0402_1005Metric";6;"330K";;;
5;"R27,R28,R23,R24";"R_0402_1005Metric";4;"1K";;;
6;"R39";"R_0603_1608Metric";1;"100";;;
7;"SW1,SW2";"CJS-1200TA";2;"CJS1200";;;
8;"U12";"SOT-363_SC-70-6";1;"AD5621";;;
9;"U14";"SOT-23-5";1;"MCP6V13T";;;
10;"U16";"SOT-353_SC-70-5";1;"SN74LVC1G32";;;
11;"SW6";"PTS810";1;"TACT_SWITCH";;;
12;"U17";"LIS2DH12";1;"LIS2DE12";;;
13;"U15";"SOT-353_SC-70-5";1;"MCP6001";;;
14;"R30,R31,R1,R12,R14,R29";"R_0402_1005Metric";6;"1M";;;
15;"U25,U1,U26";"SOT-353_SC-70-5";3;"MCP6V31U";;;
16;"U28,U29";"SOT-363_SC-70-6";2;"TPD4E1B06";;;
17;"U18,U21,U22";"SOT-353_SC-70-5";3;"74LVC1G66";;;
18;"R8,R9";"R_0402_1005Metric";2;"10K";;;
19;"D2";"LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder";1;"LED";;;
20;"R20,R25,R22,R19,R11,R15,R17,R21,R26,R13";"R_0402_1005Metric";10;"100K";;;
21;"R6";"R_0402_1005Metric";1;"R";;;
22;"TP7,TP6";"TestPoint_Pad_D1.5mm";2;"TestPoint";;;
23;"U8";"ESP32-S3-MINI-1";1;"ESP32-S3-MINI-1";;;
24;"R16,R18";"R_0402_1005Metric";2;"2K";;;
25;"SW5";"SSSS810701_SSSS810701";1;"SPDT";;;
26;"U2,U3";"MSOP-8_3x3mm_P0.65mm";2;"AD8237";;;
27;"U7";"SSOP-28_5.3x10.2mm_P0.65mm";1;"MCP3912";;;
28;"U9,U11";"SOT-23-5";2;"NCP551";;;
29;"U10";"SOT-23-5";1;"NCP300";;;
30;"D1";"C_0603_1608Metric";1;"D_Schottky";;;
31;"C9,C39";"C_0603_1608Metric";2;"22uF";;;
32;"U6";"MSOP-8_3x3mm_P0.65mm";1;"LM7332";;;
33;"C43,C38";"C_0603_1608Metric";2;"18pF";;;
34;"B1";"JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal";1;"JS_2_Battery";;;
35;"C36";"C_0603_1608Metric";1;"0.01uF";;;
36;"U23";"VSSOP-8";1;"74LVC2G00";;;
37;"R32,R34";"R_0402_1005Metric";2;"500K";;;
38;"Y1";"Crystal_SMD_HC49-SD";1;"Crystal_Small";;;
39;"J1,J2";"JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal";2;"Conn_01x03";;;
